2B,410,AER,2965,KZN,2990,0,CR2,3.750499125408644
2B,410,ASF,2966,KZN,2990,0,CR2,2.6268285826078546
2B,410,ASF,2966,MRV,2962,0,CR2,1.423408617154427
2B,410,CEK,2968,KZN,2990,0,CR2,2.3414716398659046
2B,410,CEK,2968,OVB,4078,0,CR2,3.5958610701437834
2B,410,DME,4029,KZN,2990,0,CR2,2.0839287929690897
2B,410,DME,4029,NBC,6969,0,CR2,2.772561642243262
2B,410,DME,4029,UUA,6160,0,CR2,2.6298458963160867
2B,410,EGO,6156,KGD,2952,0,CR2,3.4219574170486706
2B,410,EGO,6156,KZN,2990,0,CR2,2.8100528844280195
2B,410,GYD,2922,NBC,6969,0,CR2,3.7029110536657996
2B,410,KGD,2952,EGO,6156,0,CR2,3.1322865373773405
2B,410,KZN,2990,AER,2965,0,CR2,3.781838825059357
2B,410,KZN,2990,ASF,2966,0,CR2,2.736864403573368
2B,410,KZN,2990,CEK,2968,0,CR2,2.20460434202816
2B,410,KZN,2990,DME,4029,0,CR2,2.281159653261954
2B,410,KZN,2990,EGO,6156,0,CR2,2.7871958725446344
2B,410,KZN,2990,LED,2948,0,CR2,3.9470889680144676
2B,410,KZN,2990,SVX,2975,0,CR2,2.148745393735981
2B,410,LED,2948,KZN,2990,0,CR2,3.536606302628205
2B,410,LED,2948,NBC,6969,0,CR2,3.720737331190343
2B,410,LED,2948,UUA,6160,0,CR2,4.172160381619473
2B,410,MRV,2962,ASF,2966,0,CR2,1.3392006116062702
2B,410,NBC,6969,DME,4029,0,CR2,2.5529997125332775
2B,410,NBC,6969,GYD,2922,0,CR2,3.709814585683172
2B,410,NBC,6969,LED,2948,0,CR2,3.966949176072355
2B,410,NBC,6969,SVX,2975,0,CR2,2.0041310679292335
2B,410,NJC,2972,SVX,2975,0,CR2,3.042367092516998
2B,410,NJC,2972,UUA,6160,0,CR2,4.56981260661097
2B,410,NUX,4364,SVX,2975,0,CR2,4.002542108990315
2B,410,OVB,4078,CEK,2968,0,CR2,3.6456906341880084
2B,410,OVB,4078,SVX,2975,0,CR2,3.656207280358774
